Time (s),Acceleration Without HSI (m/s²),Acceleration With HSI (m/s²)
2.64,-0.03892353391944085,-0.0388831316334665
2.65,-0.038866648627311526,-0.03882788477637248
2.66,-0.03825939394557358,-0.03822262185327537
2.67,-0.03710662173470511,-0.03707206610264097
2.68,-0.03539498610400921,-0.035362876170979524
2.69,-0.033094481149235,-0.03306523666189532
2.7,-0.03018033555526183,-0.03015467940713901
2.71,-0.02666302296215178,-0.026641933107291203
2.72,-0.02260445352664435,-0.02258898163180658
2.73,-0.018108056301415817,-0.018099130155871623
2.74,-0.013290964219292335,-0.01328927795318198
2.75,-0.008259270864566785,-0.00826527123817251
2.7600000000000002,-0.0031013268509847663,-0.0031152212690313515
2.77,0.0021039660941855973,0.0020822451941247076
2.7800000000000002,0.007279356688181125,0.007250210934852375
2.79,0.01235301800300773,0.012317176365068516
2.8000000000000003,0.017269251470702896,0.017227633765184592
2.81,0.02199099757169292,0.02194448907115013
2.82,0.026484890355435598,0.026434156129315885
2.83,0.030696574737192662,0.03064202738003238
2.84,0.034535655523194146,0.03447758053808821
2.85,0.03788425036479978,0.03782298570955272
2.86,0.04062502866088481,0.04056108193910996
2.87,0.042670093859797864,0.04260416492125434
2.88,0.04397379778278946,0.04390676790350454
2.89,0.04452786761838284,0.04446082710352053
2.9,0.044351058240860275,0.04428536632380469
2.91,0.043485262444082524,0.04342255176023595
2.92,0.04199733378581996,0.04193937785092578
2.93,0.03997471791477822,0.03992317995256324
2.94,0.03750551846373583,0.03746170521761894
2.95,0.03464822211907904,0.03461297755320651
2.96,0.03140906634046417,0.03138284266914318
2.97,0.027743216192855077,0.02772623872968896
2.98,0.02358027414641924,0.02357267691869267
2.99,0.01885874790466921,0.01886062460827226
3.0,0.01355147365720352,0.0135628879632766
3.0100000000000002,0.007675533980266512,0.007696563417546219
3.02,0.001293873719890227,0.00132469495818283
3.0300000000000002,-0.005481412628561176,-0.0054404796228834955
3.04,-0.012483746818790104,-0.012432332159807661
3.0500000000000003,-0.019495200239320287,-0.019433121166653213
3.06,-0.026268386401570306,-0.026195915341404984
3.0700000000000003,-0.03256472540811023,-0.03248273783705532
3.08,-0.03819278749327217,-0.03810271819754983
3.09,-0.0430283592525279,-0.042932024160442984
3.1,-0.047010036913195975,-0.04690944334181028
3.11,-0.0501199653952846,-0.05001718772081247
3.12,-0.05236533335197595,-0.05226243187673739
3.13,-0.05376860018803089,-0.05366751344028685
